RMS,MAV,WL,target
552.0808078191841,551.8833746898263,2745.0,mesaio
549.2448402497223,549.0723738626964,2277.0,mesaio
550.2301345733036,550.0537634408602,2478.0,mesaio
550.8501779319935,550.6166253101737,2623.0,mesaio
548.2205521320625,548.0583126550869,2257.0,mesaio
551.1784386347863,551.0194375516957,2323.0,mesaio
550.3396458610371,550.1815550041357,2192.0,mesaio
549.5173101855377,549.2841191066998,2120.0,mesaio
550.009417544758,549.8912324234905,1974.0,mesaio
551.5923655355662,551.3974358974359,2453.0,mesaio
548.7289245054578,548.509511993383,2652.0,mesaio
550.7840595293189,550.5260545905708,2493.0,mesaio
549.4408560913829,549.3072787427626,2214.0,mesaio
551.5480462406044,551.3995037220843,2353.0,mesaio
550.7425226934357,550.474358974359,2587.0,mesaio
549.4121378987468,549.1282051282051,2926.0,mesaio
550.38797354472,549.9909015715467,2753.0,mesaio
551.2774134684789,551.1075268817204,2275.0,mesaio
550.3858609621651,550.156741108354,2651.0,mesaio
550.197669193631,550.0467328370554,2147.0,mesaio
547.9740138465661,547.7167080231596,2834.0,mesaio
551.7627537958926,551.5839536807279,2563.0,mesaio
551.7517314139391,551.5620347394541,2529.0,mesaio
547.7623708973175,547.5074441687345,2733.0,mesaio
546.5738609970545,546.3205128205128,2479.0,mesaio
550.1646978760832,549.8821339950372,2807.0,mesaio
551.1635207754423,550.9727047146401,2404.0,mesaio
550.0889194231472,549.9557485525228,2174.0,mesaio
551.17383047261,551.0132340777502,2341.0,mesaio
549.9792754949457,549.8254755996692,2388.0,mesaio
552.2817422555123,552.1426799007444,2320.0,mesaio
551.8500080168719,551.6505376344086,2492.0,mesaio
549.4094660387966,549.2229114971051,2556.0,mesaio
550.0851952964806,549.9181141439205,2731.0,mesaio
552.8472519183583,552.5,2618.0,mesaio
550.7615049351625,550.2965260545906,3044.0,mesaio
549.1208745848951,548.5876757650951,2955.0,mesaio
548.4857574607599,547.8395368072787,3133.0,mesaio
550.1756678631697,549.7990074441688,3006.0,mesaio
549.8672657337935,549.6774193548387,2599.0,mesaio
552.8613830340202,552.5351530190239,2578.0,mesaio
549.581157159144,549.2200165425971,2975.0,mesaio
548.5212129825167,548.2200165425971,2824.0,mesaio
547.5956835765138,547.3469809760132,2420.0,mesaio
